"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Jerry Stackhouse",1,"SG",26,"DET",80,80,3215,774,1927,0.402,166,473,0.351,608,1454,0.418,0.445,666,810,0.822,99,216,315,410,97,54,326,160,2380,21.8,0.521,0.42,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.137,5.8,-0.7,5.1,5.8,14.5,0.755,0.231,0.049,0.179,0.295,0.245,0.592,0.234,0.348,0.355,0.431,0.777,0.025,45,0.288,0.338
"Allen Iverson",2,"SG",25,"PHI",71,71,2979,762,1813,0.42,98,306,0.32,664,1507,0.441,0.447,585,719,0.814,50,223,273,325,178,20,237,147,2207,24,0.518,0.397,1.9,8.3,5.2,23,3.2,0.5,10,35.9,7.3,4.5,11.8,0.19,5,1.1,6.1,6.1,12.7,0.831,0.223,0.175,0.185,0.248,0.169,0.686,0.268,0.33,0.423,0.37,0.786,0.004,7,0.108,0.364
"Shaquille O'Neal",3,"C",28,"LAL",74,74,2924,813,1422,0.572,0,2,0,813,1420,0.573,0.572,499,972,0.513,291,649,940,277,47,204,218,256,2125,30.2,0.574,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,11.1,3.9,14.9,0.245,7,0.7,7.7,7.1,4.7,0.999,0.429,0.452,0.113,0.005,0.001,0.792,0.417,0.375,0.286,0.645,NA,0.16,219,0,NA
"Paul Pierce",4,"SF",23,"BOS",82,82,3120,687,1513,0.454,147,384,0.383,540,1129,0.478,0.503,550,738,0.745,94,428,522,253,138,69,262,251,2071,22.3,0.563,0.488,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,6.9,3.5,10.4,0.16,4.5,-0.1,4.4,5,13.4,0.746,0.261,0.115,0.147,0.223,0.254,0.592,0.374,0.423,0.435,0.576,0.891,0.014,16,0.19,0.397
"Vince Carter",5,"SF",24,"TOR",75,75,2979,762,1656,0.46,162,397,0.408,600,1259,0.477,0.509,384,502,0.765,176,240,416,291,114,82,167,205,2070,25,0.551,0.303,6.5,9.3,7.9,19.2,2,1.9,8.2,30.7,10.3,2.6,12.9,0.208,7.6,0.1,7.6,7.2,14.1,0.76,0.245,0.1,0.124,0.29,0.24,0.613,0.337,0.432,0.428,0.558,0.772,0.028,44,0.169,0.403
"Tracy McGrady",6,"SG",21,"ORL",77,77,3087,788,1724,0.457,59,166,0.355,729,1558,0.468,0.474,430,587,0.733,192,388,580,352,116,118,198,160,2065,24.9,0.521,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.189,6.5,0.5,7,7,11.5,0.904,0.28,0.141,0.203,0.28,0.096,0.586,0.416,0.4,0.425,0.427,0.814,0.051,80,0.09,0.467
"Antawn Jamison",7,"SF",24,"GSW",82,82,3394,800,1812,0.442,62,205,0.302,738,1607,0.459,0.459,382,534,0.715,280,435,715,164,114,28,199,225,2044,19,0.499,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.8,-2,0.8,2.3,11.4,0.887,0.216,0.264,0.142,0.265,0.113,0.724,0.384,0.307,0.4,0.718,0.935,0.013,22,0.112,0.174
"Kobe Bryant",8,"SG",22,"LAL",68,68,2783,701,1510,0.464,61,200,0.305,640,1310,0.489,0.484,475,557,0.853,104,295,399,338,114,43,220,222,1938,24.5,0.552,0.369,4.3,11.8,8.1,23,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,4.7,12.8,0.868,0.24,0.134,0.189,0.303,0.132,0.653,0.409,0.462,0.41,0.384,0.77,0.035,49,0.12,0.375
"Chris Webber",9,"PF",27,"SAC",70,70,2836,786,1635,0.481,2,28,0.071,784,1607,0.488,0.481,324,461,0.703,179,598,777,294,93,118,195,226,1898,24.7,0.516,0.282,7,22.1,14.8,20.6,1.7,2.8,9.6,31.6,5.8,5.2,11,0.186,4,1.4,5.5,5.3,10.2,0.983,0.256,0.259,0.122,0.346,0.017,0.73,0.385,0.395,0.419,0.568,1,0.068,100,0,NA
"Antoine Walker",10,"PF",24,"BOS",81,81,3396,711,1720,0.413,221,603,0.367,490,1117,0.439,0.478,249,348,0.716,151,568,719,445,138,49,301,251,1892,18.9,0.505,0.202,5,20.4,12.3,26.8,2.1,1.1,13.8,29.1,2.7,3.8,6.6,0.093,3.5,-0.5,3,4.3,12.7,0.649,0.313,0.191,0.063,0.082,0.351,0.566,0.314,0.284,0.362,0.353,0.932,0.011,19,0.09,0.37
"Karl Malone",11,"PF",37,"UTA",81,81,2895,670,1345,0.498,2,5,0.4,668,1340,0.499,0.499,536,676,0.793,114,555,669,361,93,62,244,216,1878,24.7,0.572,0.503,5,23.3,14.3,24.1,1.7,1.7,12.9,30,9.1,4,13.1,0.217,5.5,1.1,6.6,6.3,10.1,0.996,0.326,0.114,0.209,0.347,0.004,0.674,0.373,0.413,0.426,0.822,1,0.023,29,0,NA
