"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"Aaron Gordon","198","PF",26,"DEN",75,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126,15.3,0.602,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2,5.2,0.105,0.5,-1.1,-0.6,0.9,11.5,0.688,0.381,0.169,0.084,0.054,0.312,0.796,0.369,0.329,0.422,0.628,0.851,0.173,130,0.419,0.349
"Aaron Henry","233","SF",22,"PHI",6,0,17,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,NA,0,1,1,0,0,2,2,2,2,-7.4,0.2,0,0,6.5,3.3,0,0,10.6,28.6,18.5,-0.1,0,-0.1,-0.306,-14,-2.4,-16.5,-0.1,12,0.8,0.2,0.2,0.4,0,0.2,1,0,0,NA,1,NA,0,0,0,NA
"Aaron Holiday","244","PG",25,"TOT",63,15,1021,151,338,0.447,39,103,0.379,112,235,0.477,0.504,59,68,0.868,24,98,122,153,42,9,67,92,400,12.6,0.544,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,13.1,0.695,0.175,0.299,0.166,0.056,0.305,0.61,0.475,0.411,0.263,0.348,0.718,0.003,0,0.155,0.438
"Aaron Nesmith","406","SF",22,"BOS",52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196,7.3,0.507,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,18.4,0.368,0.126,0.154,0.033,0.055,0.632,0.87,0.464,0.167,0.7,0.805,0.935,0.027,5,0.383,0.205
"Aaron Wiggins","581","SG",23,"OKC",50,35,1209,156,337,0.463,42,138,0.304,114,199,0.573,0.525,62,85,0.729,51,127,178,68,30,10,54,93,416,10.3,0.556,0.252,4.3,11,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,12.7,0.591,0.249,0.318,0.018,0.006,0.409,0.655,0.514,0.5,0.5,0.561,0.976,0.05,15,0.362,0.34
"Abdel Nader","403","SF",28,"PHO",14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34,4.9,0.431,0.286,3,16.6,10,5.9,2.7,2.5,21.8,15,-0.3,0.3,0,-0.009,-7.1,2.2,-4.9,-0.1,12.9,0.6,0.314,0.286,0,0,0.4,0.727,0,NA,NA,0.5,1,0.029,1,0.357,0.2
"Ade Murkey","398","SG",24,"SAC",1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,-0.017,-7.4,-2.3,-9.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"Admiral Schofield","492","SF",24,"ORL",38,1,469,54,129,0.419,26,79,0.329,28,50,0.56,0.519,12,15,0.8,17,72,89,25,4,5,21,58,146,7.5,0.538,0.116,3.8,16.3,10,7.9,0.4,1,13.4,14.5,-0.1,0.3,0.3,0.027,-4.2,-1.2,-5.4,-0.4,17.6,0.388,0.147,0.209,0.023,0.008,0.612,0.632,0.481,0.667,1,0.714,0.962,0.023,1,0.367,0.345
"Ahmad Caver","99","SG",25,"IND",1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,2,76.2,1,0,0,0,0,0,0,0,0,42.8,0,0,0,1.204,31,5.9,36.9,0,1.8,1,1,0,0,0,0,1,NA,NA,NA,1,NA,0,0,NA,NA
"Al Horford","250","C",35,"BOS",69,69,2005,266,569,0.467,89,265,0.336,177,304,0.582,0.546,80,95,0.842,108,422,530,232,49,92,65,130,701,16.7,0.574,0.167,6,22.2,14.3,16.4,1.2,4.2,9.6,14.8,3.7,3.8,7.6,0.181,1.4,2.9,4.3,3.2,15.3,0.534,0.17,0.243,0.069,0.053,0.466,0.784,0.507,0.538,0.333,0.678,0.978,0.056,31,0.279,0.378
