"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"A.J. Price","344","PG",26,"WAS",57,22,1278,161,413,0.39,70,200,0.35,91,213,0.427,0.475,49,62,0.79,20,94,114,205,33,3,64,73,441,12.4,0.501,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.2,-0.4,-0.6,0.5,18.4,0.516,0.092,0.116,0.114,0.194,0.484,0.553,0.417,0.447,0.363,0.308,0.771,0,0,0.23,0.391
"Aaron Brooks","60","PG",28,"TOT",53,20,997,143,316,0.453,50,134,0.373,93,182,0.511,0.532,40,52,0.769,13,67,80,114,30,10,67,94,376,11.8,0.555,0.165,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,-0.8,-1.4,-2.2,0,15.8,0.576,0.222,0.142,0.066,0.146,0.424,0.614,0.4,0.524,0.457,0.215,0.64,0,0,0.187,0.36
"Aaron Gray","158","C",28,"TOR",42,16,513,48,90,0.533,0,0,NA,48,90,0.533,0.533,23,44,0.523,48,85,133,33,7,5,36,85,119,9,0.544,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3.9,-0.4,-4.3,-0.3,3.9,1,0.578,0.367,0.033,0.022,0,0.635,0.364,0.667,0.5,0.708,NA,0.089,8,NA,NA
"Al Harrington","173","C",32,"ORL",10,0,119,20,57,0.351,8,30,0.267,12,27,0.444,0.421,3,4,0.75,6,21,27,10,4,1,7,18,51,10.3,0.434,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0,-0.012,-3,-1.5,-4.5,-0.1,16.3,0.474,0.298,0.053,0.018,0.105,0.526,0.529,0.333,0,0.333,0.333,1,0,0,0.233,0.143
"Al Horford","198","C",26,"ATL",74,74,2756,576,1060,0.543,3,6,0.5,573,1054,0.544,0.545,134,208,0.644,195,562,757,240,78,78,147,163,1289,19.8,0.56,0.196,8.2,23,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7,9.5,0.994,0.35,0.207,0.114,0.324,0.006,0.752,0.434,0.446,0.423,0.771,0.667,0.098,101,0.5,0.667
"Al Jefferson","216","C",28,"UTA",78,78,2578,611,1236,0.494,2,17,0.118,609,1219,0.5,0.495,167,217,0.77,156,564,720,164,80,89,105,170,1391,20.9,0.522,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,2.2,0.1,2.4,2.8,10.2,0.986,0.241,0.291,0.169,0.285,0.014,0.718,0.464,0.416,0.401,0.547,1,0.059,65,0.176,0
"Al-Farouq Aminu","10","SF",22,"NOH",76,71,2066,225,474,0.475,4,19,0.211,221,455,0.486,0.479,101,137,0.737,139,446,585,103,92,51,116,153,555,13.7,0.519,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1,7.1,0.96,0.489,0.224,0.08,0.167,0.04,0.642,0.368,0.316,0.266,0.71,1,0.19,80,0.421,0.375
"Alan Anderson","13","SF",30,"TOR",65,2,1495,236,616,0.383,95,285,0.333,141,331,0.426,0.46,126,147,0.857,34,114,148,103,48,7,80,131,693,12.6,0.509,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,-0.5,-1.3,-1.8,0.1,16.7,0.537,0.148,0.14,0.107,0.143,0.463,0.681,0.372,0.409,0.227,0.447,0.853,0.008,5,0.323,0.359
"Alec Burks","66","SG",21,"UTA",64,0,1137,163,388,0.42,33,92,0.359,130,296,0.439,0.463,92,129,0.713,37,108,145,92,35,13,74,114,451,11.5,0.507,0.332,3.8,11.2,7.5,13,1.6,0.9,14.3,20.7,0.3,0.7,1,0.044,-1.9,-0.7,-2.6,-0.2,13.1,0.763,0.302,0.155,0.054,0.253,0.237,0.615,0.267,0.238,0.378,0.423,0.848,0.049,19,0.174,0.375
"Alexey Shved","379","SG",24,"MIN",77,16,1840,236,635,0.372,85,288,0.295,151,347,0.435,0.439,108,150,0.72,41,134,175,286,54,27,147,117,665,11,0.474,0.236,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,-0.6,1.4,0.8,0.02,-1.1,-0.6,-1.7,0.1,16.6,0.546,0.217,0.098,0.068,0.164,0.454,0.609,0.371,0.349,0.279,0.331,0.706,0.024,15,0.087,0.48
"Alonzo Gee","146","SF",25,"CLE",82,82,2541,305,744,0.41,69,219,0.315,236,525,0.45,0.456,163,205,0.795,75,245,320,133,107,29,132,199,842,10.5,0.505,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,0.5,1.5,1.9,0.036,-2.2,-0.3,-2.6,-0.4,11.9,0.706,0.341,0.157,0.106,0.101,0.294,0.622,0.197,0.354,0.36,0.513,0.899,0.12,84,0.566,0.298
"Amar'e Stoudemire","397","PF",30,"NYK",29,0,682,154,267,0.577,0,0,NA,154,267,0.577,0.577,105,130,0.808,60,85,145,13,10,21,50,89,413,22.1,0.637,0.487,10,15.1,12.4,3.6,0.8,2.7,13.4,25.7,2.1,0.6,2.7,0.191,1.6,-0.9,0.7,0.5,4.7,1,0.592,0.24,0.071,0.097,0,0.677,0.484,0.263,0.423,0.597,NA,0.184,47,NA,NA
"Amir Johnson","223","PF",25,"TOR",81,38,2325,336,606,0.554,5,13,0.385,331,593,0.558,0.559,136,187,0.727,227,384,611,122,81,110,117,301,813,17.3,0.591,0.309,11.4,20,15.6,8.7,1.8,3.8,14.5,16.1,4.4,2.9,7.3,0.151,0,1,1,1.8,7.6,0.979,0.464,0.244,0.056,0.215,0.021,0.687,0.541,0.324,0.362,0.71,1,0.111,63,0.385,0.4
"Anderson Varejão","429","C",30,"CLE",25,25,901,138,289,0.478,0,5,0,138,284,0.486,0.478,77,102,0.755,138,223,361,84,37,14,44,68,353,21.7,0.529,0.353,16.9,30.1,23.2,15.4,2.1,1.3,11.6,18.7,2.2,1.1,3.3,0.173,3.8,-0.1,3.7,1.3,7.3,0.983,0.488,0.183,0.111,0.201,0.017,0.589,0.358,0.406,0.397,0.696,NA,0.035,8,0,NA
"Andray Blatche","48","C",26,"BRK",82,8,1555,346,676,0.512,3,22,0.136,343,654,0.524,0.514,148,216,0.685,161,256,417,85,86,54,123,163,843,21.9,0.547,0.32,12.2,19.6,15.8,10.5,3,2.7,13.8,26.5,2.4,2.5,4.9,0.153,1.3,0.9,2.2,1.6,7.6,0.967,0.438,0.265,0.111,0.154,0.033,0.686,0.374,0.333,0.462,0.461,0.667,0.077,49,0.318,0.286
"Andre Drummond","115","C",19,"DET",60,10,1243,208,342,0.608,1,2,0.5,207,340,0.609,0.61,59,159,0.371,169,288,457,30,59,95,57,144,476,21.6,0.578,0.465,15.4,27.2,21.2,4.1,2.5,6.1,12.2,17.2,2.2,2.3,4.5,0.172,1,1.5,2.5,1.4,2.2,0.994,0.816,0.146,0.02,0.012,0.006,0.688,0.3,0,0,0.623,0,0.365,114,0,NA
"Andre Iguodala","204","SG",29,"DEN",80,80,2779,396,879,0.451,91,287,0.317,305,592,0.515,0.502,155,270,0.574,82,341,423,433,139,52,206,127,1038,15.2,0.52,0.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,2.4,3.2,5.6,0.097,1.2,1.4,2.6,3.3,13.9,0.673,0.307,0.093,0.102,0.171,0.327,0.752,0.329,0.278,0.333,0.541,0.802,0.159,134,0.348,0.26
"Andre Miller","295","PG",36,"DEN",82,11,2151,303,632,0.479,17,64,0.266,286,568,0.504,0.493,163,194,0.84,60,178,238,484,73,11,172,159,786,15.7,0.548,0.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,3.9,1.5,5.4,0.12,1.1,-0.2,0.9,1.6,8.7,0.899,0.422,0.207,0.176,0.093,0.101,0.618,0.397,0.387,0.441,0.248,1,0.002,1,0.297,0.158
"Andrea Bargnani","27","PF",27,"TOR",35,25,1003,170,426,0.399,38,123,0.309,132,303,0.436,0.444,65,77,0.844,26,102,128,38,21,23,54,64,443,11.2,0.482,0.181,3,12.3,7.6,6.6,1.1,1.8,10.5,23.8,-0.5,0.6,0.1,0.007,-1.1,-1.6,-2.7,-0.2,16.1,0.711,0.115,0.141,0.162,0.293,0.289,0.551,0.4,0.406,0.424,0.598,0.974,0.014,5,0.057,0.286
"Andrei Kirilenko","246","SF",31,"MIN",64,64,2034,284,560,0.507,35,120,0.292,249,440,0.566,0.538,188,250,0.752,102,260,362,177,96,62,119,82,791,17.6,0.59,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,3.4,2.6,6,0.142,1.8,1.8,3.5,2.9,9.6,0.786,0.532,0.098,0.023,0.132,0.214,0.664,0.382,0.231,0.365,0.715,0.971,0.15,79,0.083,0.4
"Andrew Bogut","51","C",28,"GSW",32,32,786,83,184,0.451,1,1,1,82,183,0.448,0.454,19,38,0.5,68,177,245,67,20,55,35,85,186,13.8,0.463,0.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,0.4,1.4,1.7,0.106,-1.4,2.8,1.4,0.7,4.7,0.995,0.495,0.435,0.043,0.022,0.005,0.582,0.313,0.25,0.5,0.61,1,0.114,17,0,NA
"Andrew Goudelock","156","SG",24,"LAL",1,0,6,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,-6.4,0,0,18.9,0,9.2,0,0,0,0,14.8,0,0,0,-0.264,-9.7,-6.2,-15.9,0,15.5,1,0,0,0.5,0.5,0,NA,NA,0,0,NA,NA,0,0,NA,NA
"Andrew Nicholson","317","PF",23,"ORL",75,28,1249,256,486,0.527,0,0,NA,256,486,0.527,0.527,75,94,0.798,69,189,258,44,24,32,79,133,587,15.1,0.557,0.193,6.2,17.1,11.7,6.1,1,2,13,22.1,0.9,0.8,1.7,0.065,-1.8,-0.9,-2.7,-0.2,10.2,1,0.239,0.311,0.119,0.331,0,0.698,0.497,0.466,0.453,0.664,NA,0.051,24,NA,NA
"Andris Biedriņš","43","C",26,"GSW",53,9,495,10,21,0.476,0,0,NA,10,21,0.476,0.476,4,13,0.308,34,119,153,14,15,42,14,101,24,7.7,0.449,0.619,7.8,25.7,17,3.7,1.5,6.6,34.4,3.7,0.1,1,1.1,0.102,-4.8,3.8,-1,0.1,2.9,1,0.714,0.286,0,0,0,0.533,0.333,NA,NA,0.8,NA,0.095,2,NA,NA
"Antawn Jamison","215","PF",36,"LAL",76,6,1636,267,575,0.464,84,233,0.361,183,342,0.535,0.537,94,136,0.691,109,253,362,50,30,22,53,124,712,15.3,0.561,0.237,7.5,16.6,12.2,5,0.9,1,7.7,18.7,3,1.3,4.3,0.126,1,-1.1,-0.1,0.8,13.3,0.595,0.308,0.193,0.031,0.063,0.405,0.655,0.405,0.278,0.472,0.765,1,0.007,3,0.279,0.385
"Anthony Davis","100","PF",19,"NOH",64,60,1846,349,676,0.516,0,6,0,349,670,0.521,0.516,169,225,0.751,165,357,522,63,75,112,89,158,867,21.7,0.559,0.333,10.5,23.5,16.8,6.1,2.2,5.1,10.3,21.8,3.7,2.4,6.1,0.159,1.8,0.7,2.5,2.1,7.8,0.991,0.469,0.183,0.123,0.216,0.009,0.713,0.435,0.373,0.26,0.765,NA,0.209,129,0,NA
"Anthony Morrow","307","SG",27,"TOT",41,1,383,64,145,0.441,16,43,0.372,48,102,0.471,0.497,20,22,0.909,11,19,30,13,13,1,8,43,164,12,0.53,0.152,3.3,5.6,4.5,5.6,1.8,0.2,4.9,19.6,0.4,0.3,0.7,0.084,-1.9,0,-1.8,0,16,0.703,0.11,0.138,0.145,0.31,0.297,0.688,0.3,0.571,0.422,0.542,1,0,0,0.326,0.5
"Anthony Randolph","351","PF",23,"DEN",39,0,329,56,114,0.491,0,8,0,56,106,0.528,0.491,31,45,0.689,29,66,95,12,19,21,37,41,143,15.6,0.534,0.395,10.1,22.1,16.2,5.5,2.9,5,21.7,22.5,-0.1,0.6,0.5,0.073,-3.6,0.7,-2.9,-0.1,5.7,0.93,0.57,0.228,0.088,0.044,0.07,0.662,0.346,0.3,0.2,0.661,NA,0.228,24,0.75,0
"Anthony Tolliver","420","SF",27,"ATL",62,11,963,82,216,0.38,45,133,0.338,37,83,0.446,0.484,44,51,0.863,31,124,155,32,15,12,36,66,253,8.4,0.531,0.236,3.7,14.5,9.2,4.8,0.8,1,13.1,13.2,0.3,0.9,1.2,0.059,-2.5,-0.5,-3.1,-0.3,19.2,0.384,0.139,0.042,0.046,0.157,0.616,0.533,0.333,0.3,0.441,0.865,1,0.023,4,0.511,0.397
"Arnett Moultrie","309","PF",22,"PHI",47,0,542,78,134,0.582,0,0,NA,78,134,0.582,0.582,18,28,0.643,76,69,145,10,17,10,19,43,174,16.7,0.595,0.209,15.4,14.8,15.1,2.9,1.7,1.4,11.5,14.1,1.1,0.6,1.7,0.149,0,-1.2,-1.2,0.1,6.6,1,0.56,0.142,0.112,0.187,0,0.693,0.421,0.267,0.56,0.667,NA,0.157,20,NA,NA
"Aron Baynes","36","C",26,"SAS",16,0,141,18,36,0.5,0,1,0,18,35,0.514,0.5,7,12,0.583,12,20,32,5,1,6,11,23,43,8.8,0.521,0.333,10.4,15.5,13.1,5.2,0.4,3.1,21,17.1,0,0.2,0.1,0.05,-6.4,-0.6,-7,-0.2,6.4,0.972,0.444,0.333,0.194,0,0.028,0.75,0.417,0.143,NA,0.556,NA,0.139,5,0,NA
"Arron Afflalo","3","SF",27,"ORL",64,64,2307,397,905,0.439,72,240,0.3,325,665,0.489,0.478,191,223,0.857,29,210,239,206,40,11,138,137,1057,13,0.527,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2,0.042,-1.1,-1.8,-2.9,-0.5,14.8,0.735,0.175,0.128,0.202,0.23,0.265,0.646,0.414,0.497,0.404,0.486,0.958,0.006,4,0.304,0.438
"Austin Daye","103","SF",24,"TOT",55,0,676,90,208,0.433,41,98,0.418,49,110,0.445,0.531,26,34,0.765,16,107,123,42,14,22,29,82,247,12.9,0.554,0.163,2.7,18.8,10.6,10.1,1.1,2.6,11.5,17.1,0.8,0.9,1.6,0.117,-0.7,1.1,0.4,0.4,18.4,0.529,0.106,0.106,0.173,0.144,0.471,0.455,0.682,0.417,0.3,0.633,0.951,0.014,3,0.255,0.32
"Austin Rivers","358","SG",20,"NOH",61,26,1418,145,390,0.372,28,86,0.326,117,304,0.385,0.408,59,108,0.546,16,93,109,127,26,9,74,122,377,5.9,0.431,0.277,1.3,8,4.6,13.9,1,0.5,14.5,16.8,-1.2,0.1,-1.1,-0.038,-4.7,-1.6,-6.2,-1.5,11,0.779,0.31,0.285,0.092,0.092,0.221,0.488,0.306,0.389,0.278,0.171,0.964,0,0,0.279,0.375
"Avery Bradley","56","PG",22,"BOS",50,50,1435,192,478,0.402,40,126,0.317,152,352,0.432,0.444,37,49,0.755,30,81,111,104,64,19,72,129,461,8.8,0.461,0.103,2.5,6.5,4.6,11.6,2.3,1,12.6,18.8,-1.3,1.6,0.4,0.012,-4,0.3,-3.7,-0.6,13.9,0.736,0.295,0.069,0.067,0.305,0.264,0.482,0.273,0.313,0.445,0.487,0.95,0.019,8,0.825,0.337
"Ben Gordon","153","SG",29,"CHA",75,0,1560,310,760,0.408,113,292,0.387,197,468,0.421,0.482,107,127,0.843,18,112,130,141,35,16,136,134,840,12.7,0.515,0.167,1.3,8.5,4.8,17.6,1.2,0.8,14.3,27.8,-0.4,-0.2,-0.6,-0.018,-0.2,-3.2,-3.4,-0.6,16.4,0.616,0.176,0.122,0.064,0.253,0.384,0.545,0.366,0.347,0.38,0.376,0.761,0.001,0,0.257,0.52
"Ben Hansbrough","168","PG",25,"IND",28,0,200,15,45,0.333,6,23,0.261,9,22,0.409,0.4,21,27,0.778,2,16,18,21,7,2,18,23,57,7.2,0.501,0.6,1.1,8.8,5,16.1,1.9,0.7,24,17.1,-0.1,0.3,0.2,0.044,-5.2,1,-4.2,-0.1,18.5,0.489,0.222,0.022,0.089,0.156,0.511,0.6,0,0.5,0.143,0.111,1,0,0,0.13,0.667
"Beno Udrih","427","SG-PG",30,"TOT",66,9,1457,210,476,0.441,34,102,0.333,176,374,0.471,0.477,84,103,0.816,34,107,141,302,41,3,108,90,538,14.2,0.516,0.216,2.5,8.2,5.3,32.3,1.5,0.2,17.2,19.3,1.5,0.7,2.2,0.071,0,-1.4,-1.4,0.2,15.2,0.786,0.147,0.09,0.254,0.294,0.214,0.586,0.465,0.455,0.429,0.381,0.735,0,0,0.275,0.286
"Bernard James","211","C",27,"DAL",46,11,457,53,103,0.515,0,2,0,53,101,0.525,0.515,25,41,0.61,52,79,131,6,12,38,18,64,131,14.7,0.541,0.398,12.9,18.9,16,1.9,1.3,6.5,12.9,13.9,0.5,0.7,1.2,0.125,-2.4,0.7,-1.6,0,3.8,0.981,0.689,0.243,0.029,0.019,0.019,0.62,0.36,0,0,0.717,NA,0.146,13,0.5,0
"Bismack Biyombo","45","C",20,"CHA",80,65,2186,156,346,0.451,0,0,NA,156,346,0.451,0.451,74,142,0.521,194,388,582,35,28,143,82,195,386,10.1,0.472,0.41,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,0.1,1.3,1.4,0.031,-3.6,-0.8,-4.4,-1.3,4,1,0.578,0.318,0.075,0.029,0,0.58,0.273,0.269,0.3,0.667,NA,0.197,57,NA,NA
"Blake Griffin","164","PF",23,"LAC",80,80,2598,577,1072,0.538,5,28,0.179,572,1044,0.548,0.541,281,426,0.66,186,476,662,299,97,50,185,231,1440,22.4,0.572,0.397,8.7,21.5,15.2,19.9,2,1.6,12.8,25.4,6.8,3.9,10.6,0.196,3.2,0.8,4.1,4,8.3,0.974,0.378,0.273,0.094,0.229,0.026,0.778,0.468,0.356,0.343,0.638,1,0.199,202,0.357,0.2
"Boris Diaw","109","PF",30,"SAS",75,20,1709,179,332,0.539,30,78,0.385,149,254,0.587,0.584,47,65,0.723,66,188,254,180,52,27,84,143,435,11.9,0.603,0.196,4.7,12,8.6,15,1.6,1.1,18.9,12,2.2,2.3,4.4,0.124,-0.7,1.5,0.8,1.2,11.3,0.765,0.38,0.154,0.075,0.157,0.235,0.762,0.451,0.4,0.385,0.785,0.967,0.018,6,0.269,0.429
"Bradley Beal","38","SG",19,"WAS",56,46,1745,282,687,0.41,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,13.6,0.515,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,1,2,3,0.082,0,0.2,0.2,1,16.6,0.656,0.176,0.093,0.068,0.319,0.344,0.595,0.344,0.277,0.384,0.644,0.945,0.033,22,0.373,0.5
"Brandan Wright","461","C",25,"DAL",64,16,1149,241,404,0.597,0,3,0,241,401,0.601,0.597,59,96,0.615,85,175,260,38,26,76,34,78,541,21,0.606,0.238,8.4,16.7,12.6,5.6,1.2,5.2,7.1,19,2.8,1.3,4.1,0.172,2.1,0.4,2.5,1.3,6.3,0.993,0.403,0.371,0.161,0.057,0.007,0.724,0.56,0.415,0.522,0.801,NA,0.136,48,0,NA
"Brandon Bass","32","PF",27,"BOS",81,69,2239,286,589,0.486,0,2,0,286,587,0.487,0.486,129,150,0.86,129,296,425,84,44,64,80,188,701,12.3,0.535,0.255,7,15.2,11.2,6,1,2.3,10.9,15.5,2,2.7,4.7,0.101,-1.9,0,-1.9,0.1,11.3,0.997,0.255,0.122,0.267,0.353,0.003,0.607,0.403,0.459,0.452,0.748,NA,0.104,56,0,NA
